Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,53.9,33.6,10.5,1.7,0.2,0,80,100
Australia,55.6,37.5,3.5,0.4,3,0,80,100
Chile,35.1,43.6,18,2.2,0.3,0.8,80,100
China,46.6,44.4,6.7,0.4,0.8,1.1,80,100
Taiwan,44,46.3,8,0.6,0.1,1.1,80,100
Colombia,30.7,40.7,25.2,3.3,0.1,0,80,100
Georgia,74,23.4,2.2,0.3,0,0,80,100
India,44.9,40.4,9.5,3.5,0,1.6,80,100
Japan,45,47,5.4,0.4,0,2.2,80,100
South Korea,49.3,46,3.8,0.2,0.7,0,80,100
Mexico,38.6,39.4,17.4,4.6,0,0,80,100
New Zealand,57,35.2,4.9,0.1,2.7,0.1,80,100
Nigeria,62.2,32.3,5.1,0.4,0,0,80,100
Pakistan,42.6,40.5,14.3,2.3,0.2,0,80,100
Peru,23.5,32.4,40.4,2.6,0.6,0.5,80,100
Philippines,30.8,58.9,8.6,1.6,0,0.1,80,100
Poland,38.3,55.2,5,1.2,0,0.2,80,100
Romania,22.4,52.2,22.1,3.1,0.1,0,80,100
Russia,34.6,45.8,15.2,3.5,0.2,0.5,80,100
Slovenia,44.2,47.9,7.5,0.4,0.1,0,80,100
South Africa,44.7,37.1,13.4,4.4,0,0.3,80,100
Spain,52.4,42.8,3.5,0.1,1.1,0.1,80,100
Sweden,67.8,29.5,2.2,0.3,0.2,0,80,100
Turkey,58,38.9,2.3,0.4,0,0.4,80,100
Ukraine,44,41.6,12.3,2,0,0,80,100
Egypt,54.9,33.6,9,2.5,0,0,80,100
United States,53.5,39.8,5.1,0.8,0.8,0,80,100
Uruguay,51.4,31,13.6,3.7,0.1,0.2,80,100
