Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,57.4,29.8,7,4.4,0.9,0.4,80,100
Australia,30.2,51.4,8.6,5.9,3.9,0,80,100
Chile,56.3,32.5,5.8,2.9,1.4,1.1,80,100
China,38.1,41.5,13.3,2.7,1.5,2.9,80,100
Taiwan,60.2,29.9,6.2,2.5,0.1,1.1,80,100
Colombia,76.3,22.1,0.9,0.7,0.1,0.1,80,100
Georgia,73.1,15.6,6.4,4.7,0,0.1,80,100
India,77.3,16.8,2.5,1.7,0,1.7,80,100
Japan,52.1,32.1,8.4,1.9,0,5.4,80,100
South Korea,60.8,29.8,4.8,3.4,1.2,0,80,100
Mexico,87,8.5,2.8,1.7,0,0,80,100
New Zealand,35,46.1,8.1,5,5.2,0.6,80,100
Nigeria,76.8,16.3,3.9,2.9,0,0,80,100
Pakistan,72.8,17.3,4.9,3.2,0.9,0.8,80,100
Peru,69.1,25.6,3.2,0.6,1.3,0.3,80,100
Philippines,90.5,7.5,1.4,0.4,0,0.1,80,100
Poland,64.2,25,4,3.8,1.1,1.8,80,100
Romania,55.9,34.3,6.4,2.8,0.2,0.3,80,100
Russia,45,29.3,9.4,9.7,0.5,1.2,80,100
Slovenia,41.3,46.9,8.8,1.8,0.8,0.4,80,100
South Africa,57.5,22.6,9.4,6.1,0,4.4,80,100
Spain,62.4,22.3,7.8,6.3,0.8,0.4,80,100
Sweden,50.3,34.6,7.5,2.5,0.1,0.3,80,100
Turkey,49.6,31.7,11.9,5.7,0.2,0.9,80,100
Ukraine,52.6,26.2,12,9.2,0,0,80,100
Egypt,61,21.3,9.7,8,0,0,80,100
United States,35.6,44.3,12.9,6.6,0.6,0,80,100
Uruguay,63.7,26,4.8,4.5,0.3,0.7,80,100
