Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,70.4,25.7,2.2,1.2,0.3,0.2,80,100
Australia,34.5,45.4,8.4,6.7,4.9,0,80,100
Chile,62.3,28.4,5.7,2.4,0.9,0.2,80,100
China,43.7,41.8,7.5,1.4,0.7,5,80,100
Taiwan,62.7,27.3,6.2,3.8,0,0,80,100
Georgia,77.9,13.3,5.4,3,0.1,0.3,80,100
India,67.9,25,3.9,1.5,0,1.7,80,100
Japan,47.4,37.5,9.9,1.5,3.7,0,80,100
South Korea,61.9,29.1,7.2,1.7,0,0,80,100
Mexico,84.9,12.6,1.3,0.6,0.4,0.1,80,100
Moldova,43.4,46.7,8.3,1.4,0,0.2,80,100
New Zealand,34.6,47.7,7.2,4.3,5.8,0.4,80,100
Peru,71.2,23.5,3.9,0.8,0.6,0,80,100
Poland,61,25.9,5.6,5.6,0,1.8,80,100
Romania,53.5,34.9,6.2,2.8,1.9,0.7,80,100
Russia,48.4,31.2,11.8,6.1,0.3,2,80,100
Slovenia,47,45.1,5,2.4,0.2,0.3,80,100
South Africa,77.4,14.5,3.5,2.9,0,1.7,80,100
Spain,51.9,35.8,6.2,5.5,0.4,0.1,80,100
Sweden,53.2,38.7,3.9,3.8,0.3,0,80,100
Turkey,56,30.5,8.4,4.8,0,0.1,80,100
Ukraine,39.1,38.7,13.2,7.8,0.1,1.1,80,100
Egypt,63.1,21.8,11.5,3.6,0,0,80,100
United States,32.2,47,12.9,6.8,1.1,0,80,100
Uruguay,69.4,22.6,4,1.9,2.1,0,80,100
Serbia,59.9,29.3,7.4,1.8,0.4,1.1,80,100
