Country,Very good,Good,Fair,Poor,NA,DK,xpos,ypos
Argentina,33.2,45.5,18.6,2.6,0,0.1,80,100
Australia,26.3,48.1,20.4,4.6,0.7,0,80,100
Chile,16.7,44.7,31.4,7.3,0,0,80,100
China,33.3,31.7,22.6,12.1,0.1,0,80,100
Taiwan,22.7,63.2,9.5,4.6,0,0,80,100
Colombia,22.3,50.1,25.1,2.4,0.1,0,80,100
Georgia,12.6,29.3,38.3,19.7,0.1,0.1,80,100
India,21.9,46.7,24.4,6.8,0,0.2,80,100
Japan,13.5,40.1,37,8.7,0.7,0,80,100
South Korea,13.1,66.5,19.1,1.3,0,0,80,100
Mexico,22.1,41.9,32.2,3.5,0.2,0.1,80,100
Moldova,10.2,42.4,33.8,11.2,0,2.4,80,100
New Zealand,36.5,44.8,16.1,2.1,0.2,0.3,80,100
Peru,7.3,40.4,48.5,3.9,0,0,80,100
Poland,17.8,37.9,32,12.2,0,0.1,80,100
Romania,9.9,43.7,32,14.3,0,0.1,80,100
Russia,6.2,33.6,45.3,14.4,0.2,0.3,80,100
Slovenia,21.2,35.6,29.1,13.9,0,0.2,80,100
South Africa,40.4,37.8,14.5,5.6,0,0.2,80,100
Spain,19.9,59.5,16.3,4,0.1,0.2,80,100
Sweden,34.8,42.8,19.2,3.2,0,0,80,100
Turkey,17,51.3,22.9,7.7,0.1,0,80,100
Ukraine,7.6,39.1,37.3,15.9,0.1,0,80,100
Egypt,15.5,51,25.4,8.1,0,0,80,100
United States,29.5,52.2,14.6,3.7,0,0,80,100
Uruguay,20.2,57.1,18.8,3.3,0.2,0,80,100
Serbia,18.5,35.3,33.3,12,0.1,0.7,80,100
