Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,8.4,21.8,32.7,36.1,0.3,0.7,80,100
Australia,9.6,38.1,40.6,9.6,2.2,0,80,100
Chile,5.6,14.5,32.3,45.8,1.5,0.3,80,100
China,13.3,34.9,28,5.6,0.4,17.8,80,100
Taiwan,6.7,22.2,45,26,0,0,80,100
Georgia,19,43.9,24.9,11.7,0.2,0.3,80,100
India,14.4,22.8,31.2,25.2,0,6.3,80,100
Japan,19.7,41.7,27.6,3.6,7.4,0,80,100
South Korea,17.7,36.5,34.3,11.4,0.1,0,80,100
Mexico,19.7,26.8,27.3,24.1,0.6,1.4,80,100
Moldova,4.6,21,46.4,27.7,0,0.3,80,100
New Zealand,6,33.3,44.8,11.4,3.5,1,80,100
Peru,11,17,39.8,30.3,1.9,0,80,100
Poland,5.2,23.5,42.4,27.4,0,1.5,80,100
Romania,4.1,17.3,39.6,36.3,1.7,1,80,100
Russia,7.9,26.5,39.8,22.7,0.6,2.4,80,100
Slovenia,3.9,11.9,45.3,38.3,0.2,0.5,80,100
South Africa,21.7,25.6,28.6,22.7,0,1.4,80,100
Spain,7.6,21.3,43.1,27.6,0.1,0.2,80,100
Sweden,15.5,47.1,29.3,8.1,0,0,80,100
Turkey,12.7,24.5,30.4,32,0,0.3,80,100
Ukraine,8.9,29.5,35.2,24,0.3,2.1,80,100
Egypt,9.1,28.2,27.3,35.2,0,0.1,80,100
United States,10.8,39.9,39.7,8.5,1,0,80,100
Uruguay,12.2,21.3,29,36.5,1,0,80,100
Serbia,4.7,17.1,44.2,32.7,0.1,1.2,80,100
