Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,34.9,31.1,21.3,11.8,0,0.9,80,100
Australia,23.1,24.6,32.2,19.2,0,0.8,80,100
Chile,41.8,31.3,19,5.6,0,2.2,80,100
China,3.9,10.3,30.8,44,0,11.1,80,100
Taiwan,12.6,35.1,44.7,6,0,1.5,80,100
Colombia,43.7,48,7.8,0,0,0.5,80,100
India,48.2,29.5,13.9,7,0,1.4,80,100
Japan,6.4,14.9,38.3,31.7,0,8.7,80,100
South Korea,19.8,30.8,32.6,15.7,0.2,1,80,100
Mexico,45.4,33.2,17.1,3,0,1.3,80,100
Moldova,30.5,36,22.8,10,0,0.8,80,100
New Zealand,19,19.2,26.4,30.2,3.8,1.3,80,100
Nigeria,91.5,6.7,1.3,0.2,0,0.3,80,100
Pakistan,80.5,14.1,5.3,0.1,0,0,80,100
Peru,53.3,28.4,12.9,2.2,0,3.2,80,100
Philippines,78.3,19.5,1.8,0.2,0,0.2,80,100
Poland,46.4,36.3,13,3.2,0,1,80,100
Romania,37.5,37.6,17.8,4.8,0,2.2,80,100
Russia,14,25.9,34.8,22.5,0,2.8,80,100
Slovenia,16.3,26.7,34.2,21.8,0,1,80,100
South Africa,67.8,22.1,7,2.5,0,0.5,80,100
Spain,25.2,32.5,27.8,13.9,0,0.7,80,100
Sweden,9.5,19.7,42.6,27.2,0,1,80,100
Turkey,83.3,10.2,4.1,2.4,0,0,80,100
Ukraine,19.1,29.7,24.4,18,0,8.7,80,100
United States,55.9,26.2,12.4,5.2,0,0.4,80,100
Uruguay,22.8,26.1,30.3,19.3,0,1.5,80,100
Serbia,25.3,28.8,29.1,14,0,2.8,80,100
