Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,86.6,12.1,1.3,0.1,0,0,80,100
Australia,90.2,8,1.4,0.4,0,0,80,100
Chile,88.8,8.9,1.1,0.1,0,1.1,80,100
China,76.5,22,1.2,0.1,0,0.3,80,100
Taiwan,77.7,20.6,0.9,0.4,0.1,0.3,80,100
Colombia,88,11.6,0.4,0,0,0,80,100
India,90.8,7.9,0.9,0.1,0,0.2,80,100
Japan,89.8,8.3,0.7,0.2,0,0.9,80,100
South Korea,90.1,9.1,0.4,0,0.1,0.3,80,100
Mexico,74.3,22.1,3,0.3,0,0.3,80,100
Moldova,79,18.1,2.2,0.6,0,0.1,80,100
New Zealand,92.6,5.7,0.7,0.1,0.8,0.1,80,100
Nigeria,97.5,2.1,0.2,0,0,0.1,80,100
Pakistan,80.8,14.6,3.7,0.6,0,0.3,80,100
Peru,87.4,11.1,1.2,0,0,0.2,80,100
Philippines,95.8,4,0.1,0.1,0,0,80,100
Poland,89.7,9.5,0.2,0.2,0,0.5,80,100
Romania,88.6,8.9,2,0.2,0,0.2,80,100
Russia,83.7,12.6,2.6,0.7,0,0.4,80,100
Slovenia,82,14.5,1.8,1.1,0,0.6,80,100
South Africa,93.1,4.7,1.7,0.4,0,0.1,80,100
Spain,81.8,17.3,0.5,0.3,0,0.1,80,100
Sweden,90.2,8.2,1.4,0.2,0,0,80,100
Turkey,96.6,3,0.2,0.1,0,0,80,100
Ukraine,85.7,11.3,1.4,0.5,0,1.1,80,100
United States,95.2,4,0.6,0.1,0,0,80,100
Uruguay,91.3,7.1,1,0.5,0,0.2,80,100
Serbia,88.6,9.5,1.4,0.2,0,0.3,80,100
