Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,49.7,30.4,15.9,2.8,0,1.2,80,100
Chile,29.1,41.5,20.2,8.5,0,0.7,80,100
China,19.9,61.9,14.3,1.7,2,0.2,80,100
India,39.2,38.3,15.3,5.6,0,1.6,80,100
Japan,46.6,45,5.2,0.1,0,3,80,100
South Korea,44.8,50.7,4.1,0.3,0,0.2,80,100
Mexico,37.8,38.3,17.1,5.7,0,1.1,80,100
Moldova,34.9,46.9,15,1.8,0,1.5,80,100
Nigeria,63.6,26.6,8.7,1,0,0,80,100
Pakistan,19.4,44.2,33.8,2.4,0,0,80,100
Peru,24.6,32.6,39.7,2.9,0,0.3,80,100
Philippines,36.8,51.4,10.2,1.4,0,0.2,80,100
South Africa,34.3,35.5,24.4,5.8,0,0.1,80,100
Spain,46.9,45.2,6.4,0.9,0,0.6,80,100
Sweden,70.7,26.9,2.2,0.2,0,0,80,100
Turkey,72.6,23.3,2.4,0.8,0.9,0,80,100
Egypt,37.3,46.3,13.2,3.2,0,0.1,80,100
United States,64.2,31.5,3.8,0.3,0,0.1,80,100
Serbia,57.5,37.8,4.3,0.2,0,0.2,80,100
